status,title,author,date,source_url,body_text_chars
EXCLUDED,every-breath-is-shorter-fossil-fuel-emissions-and-the-gut-brain-nexus,,,https://gsekretaryuk2000.wixsite.com/ir-insights/post/every-breath-is-shorter-fossil-fuel-emissions-and-the-gut-brain-nexus,0
IMPORT,What happened in Germany?,Carolina Oliviero,2025-05-07T20:52:51.486Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/what-happened-in-germany,3991
IMPORT,The Lesson France Learned from the Failure of US Democracy,Carolina Oliviero,2025-03-31T20:40:21.013Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/the-lesson-france-learned-from-the-failure-of-us-democracy,3928
IMPORT,Eine juristisch-politische Einschätzung eines AfD-Parteiverbots,Carolina Oliviero,2025-02-16T11:50:39.022Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/eine-juristisch-politischer-einsch%C3%A4tzung-eines-afd-parteiverbots,19460
IMPORT,A Reflection on Democracy,Carolina Oliviero,2024-12-02T21:02:30.788Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/a-reflection-on-democracy,12457
IMPORT,When the Waters Rise: Valencia’s Floods and the Urgent Call for Loss and Damage Finance at COP29,Yevgen Sekretaryuk,2024-11-11T16:39:50.135Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/when-the-waters-rise-valencia-s-floods-and-the-urgent-call-for-loss-and-damage-finance-at-cop29,14742
IMPORT,It Doesn't End With the Economy,Carolina Oliviero,2024-10-30T16:41:25.238Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/it-doesn-t-end-with-the-economy,4239
IMPORT,We Must Offer More Than ERASMUS to the Youth,Carolina Oliviero,2024-10-17T18:47:35.500Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/we-must-offer-more-than-erasmus-to-the-youth,4901
IMPORT,Sunny Side-Up: The Lonestar Shift From Pump Jacks to Solar Stacks,Yevgen Sekretaryuk,2024-09-21T20:22:16.458Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/sunny-side-up-the-lonestar-shift-from-pump-jacks-to-solar-stacks,13172
IMPORT,Women and Water in Central Asia: The Untapped Power to Combat Climate Change,Yevgen Sekretaryuk,2024-09-14T13:32:35.248Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/women-and-water-in-central-asia-the-untapped-power-to-combat-climate-change,9695
IMPORT,The German Resistance against Overconsumption and Capitalism,Carolina Oliviero,2024-09-12T16:09:31.650Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/the-german-resistance-against-overconsumption-and-capitalism-1,5631
IMPORT,Why We Should Recognize Our Food Industry as Our New Tobacco Industry,Carolina Oliviero,2024-09-05T09:03:58.445Z,https://gsekretaryuk2000.wixsite.com/ir-insights/post/why-we-should-recognize-our-food-industry-as-our-new-tobacco-industry,11281
